Code,Name,PermanentAddress1,PermanentAddress2,PermanentAddress3,PermanentCity,PermanentCountry,PermanentPostalcode,CorrespondanceAddress1,CorrespondanceAddress2,CorrespondanceAddress3,CorrespondanceCity,CorrespondanceCountry,CorrespondancePostalCode,Limit,ContactNumber,FaxNumber,RegistrationDate,
000066,WENZHOU FOOTWEAR,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,021 510 4707  ,021 510 4707  ,2019-06-11,
000067,TIANFA FOOTWEAR,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,021 510 4707  ,021 510 4707  ,2019-06-11,
000069,AIMINER LEATHER SHOES,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,021 510 4707  ,021 510 4707  ,2019-06-11,
000070,J & M CLOTH SHOES,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,021 510 4707  ,021 510 4707  ,2019-06-11,
000071,VOG FASHION,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,,0,021 510 4707  ,021 510 4707  ,2019-06-11,
000072,OULIA SHOES SUNNY,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,021 510 4707  ,021 510 4707  ,2019-06-11,
000073,INNERWOOD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,021 510 4707  ,021 510 4707  ,2019-06-11,
000074,AVIELLI SHOES,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,021 510 4707  ,021 510 4707  ,2019-06-11,
000075,DSSA SPORT,7 BONAZA STREET,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,021 510 4707  ,021 510 4707  ,2019-06-11,
000076,THE NAKED FEET COMPANY,P O BOX 570,WESTVILLE,SPRINGFIELD,SPRINGFIELD,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,021 510 4707  ,021 510 4707  ,2019-06-11,
000077,PITO SHOES COMPANY,CHINA,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,021 510 4707  ,021 510 4707  ,2019-06-11,
000078,ZEEKO SHOES INDIA,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,021 510 4707  ,021 510 4707  ,2019-06-11,
000079,BOAONDA,9A HNERY STREET,BLOEMFONTEIN,SPRINGFIELD,SPRINGFIELD,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,051 4481031,051 4481031,2019-06-11,
000080,NEW HUNG LEE SHOES,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,021 510 4707  ,021 510 4707  ,2019-06-11,
000081,SAKAY INDIA,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,021 510 4707  ,021 510 4707  ,2019-06-11,
